,Actor,Genre
0,Govinda,Romance
1,Aamir Khan,Adventure
2,Akshay Kumar,Action
3,Shah Rukh Khan,Drama
4,Shah Rukh Khan,Action
5,Shah Rukh Khan,Musical
6,Hrithik Roshan,Action
7,Amitabh Bachchan,Drama
8,Saif Ali Khan,Comedy
9,Jackie Shroff,Musical
10,Karisma Kapoor,Adventure
11,Preity Zinta,Drama
12,Hrithik Roshan,Musical
13,Sunil Shetty,Action
14,Tabu,Crime
15,Kajol,Drama
16,Dev Anand,Musical
17,Sunny Deol,Action
18,Rekha,Comedy
19,Rani Mukerji,Musical
20,Raveena Tandon,Drama
21,Bobby Deol,Action
22,Sadashiv Amrapurkar,Drama
23,Rani Mukerji,Romance
24,Jackie Shroff,Drama
25,Neha,Drama
26,Akshay Kumar,Crime
27,Sanjay Dutt,Comedy
28,Tinnu Anand,Crime
29,Jimi Mistry,Comedy
30,Fardeen Khan,Thriller
31,Rani Mukerji,Romance
32,Sunny Deol,Action
33,Tusshar Kapoor,Romance
34,Karan Nath,Romance
35,Saif Ali Khan,Comedy
36,Puru Rajkumar,Drama
37,Amitabh Bachchan,Thriller
38,Priyanshu Chatterjee,Drama
39,Anil Kapoor,Drama
40,Aamir Khan,Comedy
41,Fardeen Khan,Musical
42,Ajay Devgn,Romance
43,Rekha,Drama
44,Amitabh Bachchan,Action
45,Sudhir Dalvi,Drama
46,Neeru Bajwa,Documentary
47,Ajay Devgn,Action
48,Sunil Shetty,Action
49,Sunil Shetty,Comedy
50,Ameesha Patel,Drama
51,Madhavan,Musical
52,Malaika Arora,Action
53,Arjun Rampal,Romance
54,Arjun Rampal,Drama
55,Ajay Devgn,Drama
56,Anand Raj Anand,Drama
57,Shailendra Gaur,Biography
58,Govinda,Comedy
59,Sanjay Dutt,Action
60,Amitabh Bachchan,Comedy
61,Jaya Bhaduri,Musical
62,Sharman Joshi,Musical
63,Sunny Deol,Action
64,Jividha Sharma,Action
65,Tabu,Drama
66,Akshay Kumar,Musical
67,Akanksha Malhotra,Action
68,Salman Khan,Action
69,Vinod Khanna,Drama
70,Manisha Koirala,Drama
71,Jackie Shroff,Comedy
72,Fardeen Khan,Comedy
73,Nana Patekar,Mystery
74,Danny Denzongpa,Action
75,Vivek Oberoi,Crime
76,J.D. Chakravarthi,Action
77,Arjun Rampal,Romance
78,Manoj Bajpayee,Thriller
79,Vinay Anand,Action
80,Om Puri,Musical
81,Nandita Das,Musical
82,Krishna Abhishek,Musical
83,Naseeruddin Shah,Adventure
84,Akshay Kumar,Action
85,Ajay Devgn,Biography
86,Arya Babbar,Adventure
87,Uday Chopra,Comedy
88,Amitabh Bachchan,War
89,Bobby Deol,Biography
90,Anil Kapoor,Comedy
91,Bobby Deol,Action
92,Sohail Khan,Romance
93,Ajay Devgn,Comedy
94,Akshay Kumar,Action
95,Vikram Gokhale,Action
96,Rajesh Khanna,Family
97,Waheeda Rehman,Drama
98,Zulfi Sayed,Drama
99,Rishi Kapoor,Comedy
100,Shahid Kapoor,Romance
101,Arjun Rampal,Drama
102,Sanjay Kapoor,Thriller
103,Amitabh Bachchan,Action
104,Arjun Rampal,Romance
105,Raveena Tandon,Drama
106,Vivek Oberoi,Drama
107,Bobby Deol,Action
108,Bipasha Basu,Crime
109,Govinda,Comedy
110,Kay Kay Menon,Action
111,Saroj Bhargava,Comedy
112,Karisma Kapoor,Action
113,Amitabh Bachchan,Drama
114,Lucky Ali,Drama
115,Madhavan,Romance
116,Aftab Shivdasani,Romance
117,Amitabh Bachchan,Drama
118,Sanjay Dutt,Action
119,Vijayendra Ghatge,Romance
120,Ajay Devgn,Crime
121,Sunil Shetty,Action
122,Rakhee Gulzar,Action
123,Prashant Chianani,Comedy
124,Sanjay Dutt,Action
125,Sunil Shetty,Comedy
126,Govinda,Comedy
127,Sunny Deol,Action
128,Gurdas Mann,Drama
129,Ajay Devgn,Horror
130,Sunil Shetty,Action
131,Anil Kapoor,Family
132,Raveena Tandon,Crime
133,Sunny Deol,Action
134,Zayed Khan,Action
135,Ashutosh Rana,Crime
136,Dev Anand,Drama
137,Aamir Khan,Biography
138,Akshay Kumar,Drama
139,Ajinkya Deo,Action
140,Shah Rukh Khan,Drama
141,Sunny Deol,Action
142,Sanjay Suri,Comedy
143,Shah Rukh Khan,Comedy
144,Amitabh Bachchan,Action
145,Sanjay Dutt,Drama
146,Shah Rukh Khan,Action
147,Urmila Matondkar,Drama
148,Shabana Azmi,Drama
149,Imran Ahmed Khan,Drama
150,Ritesh Deshmukh,Romance
151,Pummy Brar,Action
152,Fardeen Khan,Action
153,Ashay Chitre,Drama
154,Govinda,Comedy
155,Bipasha Basu,Drama
156,Atul Kulkarni,Thriller
157,Jackie Shroff,Thriller
158,Sameera Reddy,Horror
159,Manoj Bajpayee,Action
160,Himanshu Malik,Drama
161,Amitabh Bachchan,Comedy
162,Saif Ali Khan,Crime
163,Juhi Babbar,Family
164,Tanisha,Horror
165,Amar Upadhyaya,Adventure
166,Sanjay Dutt,Action
167,Kiran Janjani,Drama
168,Kay Kay Menon,Crime
169,Raveena Tandon,Comedy
170,Attin Bhalla,Action
171,Nandita Das,Crime
172,Jimmy Shergill,Crime
173,Shahid Kapoor,Comedy
174,Vikas Kalantri,Comedy
175,Shatrughan Sinha,Drama
176,Anil Kapoor,Drama
177,Victor Banerjee,Comedy
178,Abhishek Bachchan,Romance
179,Amitabh Bachchan,Drama
180,Sanjay Dutt,Action
181,Ajay Devgn,Action
182,Anil Kapoor,Thriller
183,Feroz Khan,Musical
184,Sunny Deol,Crime
185,Tabu,Romance
186,Ajay Devgn,Romance
187,Sanjay Dutt,Fantasy
188,Shah Rukh Khan,Drama
189,Arjun Rampal,Action
190,Jaya Bhaduri,Drama
191,Javed Jaffrey,Fantasy
192,Tabu,Horror
193,Aishwarya Rai Bachchan,Drama
194,Akshaye Khanna,Comedy
195,Sunny Deol,Action
196,John Abraham,Action
197,Ajay Devgn,Crime
198,Sunil Shetty,Action
199,Govinda,Comedy
200,Salman Khan,Romance
201,Aftab Shivdasani,Action
202,Antara Mali,Drama
203,Sunil Dutt,Comedy
204,Amitabh Bachchan,Drama
205,Naseeruddin Shah,Crime
206,Sadashiv Amrapurkar,Action
207,Vijay Raaz,Comedy
208,Amitabh Bachchan,Drama
209,Babbu Mann,Drama
210,Saif Ali Khan,Drama
211,Om Puri,Crime
212,Sohail Khan,Action
213,Rahul Bose,Thriller
214,Zulfi Sayed,Comedy
215,Manisha Koirala,Drama
216,Suneil Anand,Action
217,Rahul Bose,Romance
218,Ajay Devgn,Action
219,Ajay Devgn,Action
220,Sharman Joshi,Comedy
221,Sushmita Sen,Thriller
222,Shah Rukh Khan,Drama
223,Faisal Khan,Action
224,Nauheed Cyrusi,Romance
225,Sadashiv Amrapurkar,Comedy
226,Arjan Bajwa,Romance
227,Om Puri,Drama
228,Rotem Bar,Comedy
229,Mukesh Ahuja,Drama
230,Arshad Warsi,Comedy
231,Amitabh Bachchan,War
232,Brande Roderick,Comedy
233,Arun Bakshi,Drama
234,Shahbaaz Khan,Drama
235,Amitabh Bachchan,Comedy
236,Kapil Jhaveri,Romance
237,Devaraj,Comedy
238,Kavi Kumar Azad,Comedy
239,Pankaj Berry,Action
240,Bobby Deol,Action
241,Deepak Bandhu,Action
242,Beena Banerjee,Romance
243,Arya Babbar,Drama
244,Shama Deshpande,Action
245,Jugal Hansraj,Musical
246,Vivek Oberoi,Drama
247,Manisha Koirala,Comedy
248,Amitabh Bachchan,Action
249,Sanjay Kapoor,Drama
250,Nana Patekar,Crime
251,Aftab Shivdasani,Action
252,Manisha Koirala,Drama
253,Sonakshi Sinha,Action
254,Amitabh Bachchan,Horror
255,Dino Morea,Drama
256,Ajay Devgn,Drama
257,Mallika Sherawat,Drama
258,Aamir Khan,Drama
259,Aftab Shivdasani,Comedy
260,Shawar Ali,Drama
261,Sohail Khan,Comedy
262,Aftab Shivdasani,Romance
263,Sanjay Dutt,Drama
264,Bobby Deol,Drama
265,Amrita Arora,Romance
266,Abhishek Bachchan,Action
267,Rasika Joshi,Fantasy
268,Sanjay Suri,Comedy
269,Konkona Sen Sharma,Drama
270,Amrita Arora,Drama
271,Salman Khan,Action
272,Priyanshu Chatterjee,Crime
273,Sanjay Dutt,Action
274,Ajay Devgn,Thriller
275,Akshay Kumar,Action
276,Vicky Ahuja,Horror
277,Arjun Rampal,Action
278,Sanjay Dutt,Horror
279,Salman Khan,Comedy
280,Akshay Kumar,Drama
281,Ashutosh Rana,Musical
282,Akshay Kumar,Music
283,Akshay Kumar,Comedy
284,Amitabh Bachchan,Drama
285,Tisca Chopra,Drama
286,Shabana Azmi,Drama
287,Kashmira Shah,Drama
288,Amitabh Bachchan,Drama
289,Shah Rukh Khan,Drama
290,Neha Dhupia,Drama
291,Abhishek Bachchan,Action
292,Kareena Kapoor,Adventure
293,Salman Khan,Drama
294,Sunny Deol,Adventure
295,Sunny Deol,Action
296,Sudesh Berry,Action
297,Laxmikant Berde,Comedy
298,Jackie Shroff,Musical
299,Bipasha Basu,Musical
300,Anil Kapoor,Action
301,Akshay Kapoor,Comedy
302,Salman Khan,Romance
303,Emraan Hashmi,Musical
304,Amitabh Bachchan,Action
305,Audhitya Singh,Action
306,Akshay Kumar,Action
307,Rekha,Action
308,Antara Mali,Musical
309,Sunil Shetty,Comedy
310,Anupam Kher,Musical
