,Actor,Top Genres
0,Govinda,"[('Comedy', 13), ('Romance', 6), ('Drama', 5)]"
1,Aamir Khan,"[('Drama', 11), ('Comedy', 3), ('Action', 2)]"
2,Akshay Kumar,"[('Comedy', 31), ('Drama', 24), ('Action', 19)]"
3,Shah Rukh Khan,"[('Drama', 16), ('Romance', 11), ('Comedy', 9)]"
4,Hrithik Roshan,"[('Drama', 11), ('Action', 9), ('Romance', 8)]"
5,Amitabh Bachchan,"[('Drama', 34), ('Action', 18), ('Romance', 13)]"
6,Saif Ali Khan,"[('Comedy', 16), ('Drama', 16), ('Romance', 10)]"
7,Jackie Shroff,"[('Drama', 15), ('Action', 9), ('Romance', 9)]"
8,Karisma Kapoor,"[('Drama', 2), ('Romance', 2), ('Adventure', 1)]"
9,Preity Zinta,"[('Drama', 12), ('Romance', 10), ('Comedy', 6)]"
10,Sunil Shetty,"[('Action', 26), ('Drama', 21), ('Comedy', 17)]"
11,Tabu,"[('Drama', 12), ('Action', 5), ('Romance', 4)]"
12,Kajol,"[('Drama', 6), ('Romance', 4), ('Family', 2)]"
13,Dev Anand,"[('Drama', 2), ('Musical', 1), ('Comedy', 1)]"
14,Sunny Deol,"[('Action', 19), ('Drama', 12), ('Crime', 5)]"
15,Rekha,"[('Drama', 4), ('Musical', 3), ('Romance', 3)]"
16,Rani Mukerji,"[('Drama', 18), ('Romance', 13), ('Comedy', 8)]"
17,Raveena Tandon,"[('Drama', 9), ('Comedy', 5), ('Crime', 3)]"
18,Bobby Deol,"[('Drama', 17), ('Action', 9), ('Romance', 6)]"
19,Sadashiv Amrapurkar,"[('Drama', 6), ('Action', 4), ('Comedy', 4)]"
20,Neha,"[('Drama', 1)]"
21,Sanjay Dutt,"[('Action', 26), ('Drama', 23), ('Comedy', 16)]"
22,Tinnu Anand,"[('Comedy', 6), ('Drama', 6), ('Romance', 4)]"
23,Jimi Mistry,"[('Comedy', 1), ('Fantasy', 1), ('Music', 1)]"
24,Fardeen Khan,"[('Drama', 10), ('Comedy', 9), ('Romance', 5)]"
25,Tusshar Kapoor,"[('Comedy', 12), ('Drama', 8), ('Romance', 6)]"
26,Karan Nath,"[('Romance', 2), ('Drama', 1), ('Horror', 1)]"
27,Puru Rajkumar,"[('Drama', 2), ('Action', 1), ('Mystery', 1)]"
28,Priyanshu Chatterjee,"[('Drama', 5), ('Romance', 2), ('Mystery', 2)]"
29,Anil Kapoor,"[('Drama', 13), ('Comedy', 7), ('Action', 7)]"
30,Ajay Devgn,"[('Drama', 31), ('Action', 26), ('Comedy', 14)]"
31,Sudhir Dalvi,"[('Drama', 2), ('Action', 1), ('Mystery', 1)]"
32,Neeru Bajwa,"[('Documentary', 1), ('Comedy', 1), ('Drama', 1)]"
33,Ameesha Patel,"[('Romance', 11), ('Drama', 9), ('Action', 8)]"
34,Madhavan,"[('Drama', 9), ('Romance', 4), ('Comedy', 4)]"
35,Malaika Arora,"[('Crime', 3), ('Drama', 3), ('Action', 1)]"
36,Arjun Rampal,"[('Drama', 16), ('Romance', 7), ('Action', 7)]"
37,Anand Raj Anand,"[('Drama', 1)]"
38,Shailendra Gaur,"[('Biography', 1), ('Drama', 1)]"
39,Jaya Bhaduri,"[('Drama', 5), ('Romance', 3), ('Musical', 2)]"
40,Sharman Joshi,"[('Comedy', 10), ('Drama', 8), ('Romance', 3)]"
41,Jividha Sharma,"[('Action', 1), ('Romance', 1)]"
42,Akanksha Malhotra,"[('Action', 1), ('Romance', 1)]"
43,Salman Khan,"[('Drama', 22), ('Romance', 21), ('Comedy', 17)]"
44,Vinod Khanna,"[('Drama', 7), ('Action', 7), ('Crime', 3)]"
45,Manisha Koirala,"[('Drama', 9), ('Thriller', 5), ('Romance', 4)]"
46,Nana Patekar,"[('Drama', 11), ('Crime', 5), ('Comedy', 5)]"
47,Danny Denzongpa,"[('Action', 3), ('Drama', 3), ('Comedy', 2)]"
48,Vivek Oberoi,"[('Drama', 8), ('Comedy', 8), ('Romance', 8)]"
49,J.D. Chakravarthi,"[('Horror', 2), ('Action', 1), ('Crime', 1)]"
50,Manoj Bajpayee,"[('Drama', 15), ('Thriller', 6), ('Action', 6)]"
51,Vinay Anand,"[('Drama', 2), ('Action', 1), ('Thriller', 1)]"
52,Om Puri,"[('Drama', 21), ('Comedy', 14), ('Crime', 10)]"
53,Nandita Das,"[('Drama', 4), ('Crime', 2), ('Action', 2)]"
54,Krishna Abhishek,"[('Musical', 1), ('Drama', 1), ('Romance', 1)]"
55,Naseeruddin Shah,"[('Drama', 16), ('Comedy', 10), ('Crime', 6)]"
56,Arya Babbar,"[('Drama', 4), ('Thriller', 2), ('Adventure', 1)]"
57,Uday Chopra,"[('Comedy', 3), ('Musical', 3), ('Drama', 3)]"
58,Sohail Khan,"[('Action', 8), ('Drama', 7), ('Comedy', 6)]"
59,Vikram Gokhale,"[('Drama', 6), ('Action', 3), ('Romance', 3)]"
60,Rajesh Khanna,"[('Romance', 2), ('Family', 1), ('Thriller', 1)]"
61,Waheeda Rehman,"[('Drama', 2), ('Comedy', 1), ('Musical', 1)]"
62,Zulfi Sayed,"[('Musical', 2), ('Romance', 2), ('Drama', 1)]"
63,Rishi Kapoor,"[('Drama', 17), ('Comedy', 12), ('Romance', 9)]"
64,Shahid Kapoor,"[('Romance', 16), ('Comedy', 14), ('Drama', 13)]"
65,Sanjay Kapoor,"[('Drama', 4), ('Thriller', 3), ('Romance', 3)]"
66,Bipasha Basu,"[('Drama', 19), ('Crime', 10), ('Action', 10)]"
67,Kay Kay Menon,"[('Drama', 18), ('Crime', 9), ('Comedy', 8)]"
68,Saroj Bhargava,"[('Comedy', 1), ('Drama', 1), ('Fantasy', 1)]"
69,Lucky Ali,"[('Drama', 2), ('Musical', 1)]"
70,Aftab Shivdasani,"[('Drama', 14), ('Romance', 13), ('Comedy', 13)]"
71,Vijayendra Ghatge,"[('Romance', 1)]"
72,Rakhee Gulzar,"[('Action', 1), ('Romance', 1), ('Adventure', 1)]"
73,Prashant Chianani,"[('Comedy', 1), ('Romance', 1)]"
74,Gurdas Mann,"[('Drama', 1), ('Family', 1)]"
75,Zayed Khan,"[('Action', 9), ('Drama', 9), ('Romance', 7)]"
76,Ashutosh Rana,"[('Drama', 7), ('Crime', 5), ('Action', 4)]"
77,Ajinkya Deo,"[('Action', 1), ('Crime', 1), ('Drama', 1)]"
78,Sanjay Suri,"[('Drama', 9), ('Romance', 6), ('Comedy', 3)]"
79,Urmila Matondkar,"[('Drama', 7), ('Thriller', 3), ('Musical', 2)]"
80,Shabana Azmi,"[('Drama', 4), ('Romance', 2), ('Comedy', 1)]"
81,Imran Ahmed Khan,"[('Drama', 1), ('Family', 1), ('Musical', 1)]"
82,Ritesh Deshmukh,"[('Comedy', 16), ('Drama', 11), ('Romance', 8)]"
83,Pummy Brar,"[('Action', 1), ('Comedy', 1), ('Drama', 1)]"
84,Ashay Chitre,"[('Drama', 1), ('Horror', 1), ('Mystery', 1)]"
85,Atul Kulkarni,"[('Drama', 6), ('Thriller', 3), ('Crime', 3)]"
86,Sameera Reddy,"[('Action', 3), ('Drama', 3), ('Comedy', 2)]"
87,Himanshu Malik,"[('Romance', 4), ('Drama', 3), ('Mystery', 1)]"
88,Juhi Babbar,"[('Family', 1), ('Musical', 1), ('Romance', 1)]"
89,Tanisha,"[('Comedy', 2), ('Romance', 2), ('Horror', 1)]"
90,Amar Upadhyaya,"[('Adventure', 1), ('Thriller', 1)]"
91,Kiran Janjani,"[('Drama', 2), ('Animation', 1)]"
92,Attin Bhalla,"[('Action', 1), ('Romance', 1)]"
93,Jimmy Shergill,"[('Drama', 16), ('Romance', 7), ('Crime', 6)]"
94,Vikas Kalantri,"[('Comedy', 1), ('Crime', 1), ('Drama', 1)]"
95,Shatrughan Sinha,"[('Drama', 2), ('Action', 1), ('Family', 1)]"
96,Victor Banerjee,"[('Comedy', 2), ('Drama', 1), ('Action', 1)]"
97,Abhishek Bachchan,"[('Drama', 18), ('Action', 16), ('Romance', 10)]"
98,Feroz Khan,"[('Musical', 1), ('Action', 1), ('Drama', 1)]"
99,Javed Jaffrey,"[('Drama', 3), ('Crime', 2), ('Comedy', 2)]"
100,Aishwarya Rai Bachchan,"[('Drama', 10), ('Romance', 9), ('Action', 5)]"
101,Akshaye Khanna,"[('Drama', 10), ('Comedy', 6), ('Action', 5)]"
102,John Abraham,"[('Drama', 19), ('Action', 10), ('Comedy', 7)]"
103,Antara Mali,"[('Drama', 2), ('Comedy', 2), ('Musical', 1)]"
104,Sunil Dutt,"[('Comedy', 1), ('Crime', 1)]"
105,Vijay Raaz,"[('Comedy', 8), ('Drama', 7), ('Crime', 3)]"
106,Babbu Mann,"[('Drama', 1), ('Romance', 1)]"
107,Rahul Bose,"[('Drama', 6), ('Comedy', 5), ('Romance', 4)]"
108,Suneil Anand,"[('Action', 1)]"
109,Sushmita Sen,"[('Drama', 10), ('Comedy', 6), ('Romance', 5)]"
110,Faisal Khan,"[('Action', 1), ('Romance', 1)]"
111,Nauheed Cyrusi,"[('Drama', 5), ('Comedy', 2), ('Crime', 2)]"
112,Arjan Bajwa,"[('Drama', 3), ('Action', 2), ('Crime', 2)]"
113,Rotem Bar,"[('Comedy', 1)]"
114,Mukesh Ahuja,"[('Drama', 2), ('Comedy', 2), ('Thriller', 1)]"
115,Arshad Warsi,"[('Comedy', 20), ('Drama', 8), ('Action', 7)]"
116,Brande Roderick,"[('Comedy', 1), ('Drama', 1), ('Romance', 1)]"
117,Arun Bakshi,"[('Drama', 4), ('Comedy', 3), ('Thriller', 3)]"
118,Shahbaaz Khan,"[('Drama', 2), ('Animation', 1), ('Horror', 1)]"
119,Kapil Jhaveri,"[('Romance', 2), ('Drama', 1)]"
120,Devaraj,"[('Comedy', 1)]"
121,Kavi Kumar Azad,"[('Comedy', 1)]"
122,Pankaj Berry,"[('Drama', 4), ('Crime', 3), ('Action', 2)]"
123,Deepak Bandhu,"[('Action', 1), ('Drama', 1), ('Thriller', 1)]"
124,Beena Banerjee,"[('Action', 2), ('Crime', 2), ('Drama', 2)]"
125,Shama Deshpande,"[('Drama', 2), ('Action', 1), ('Crime', 1)]"
126,Jugal Hansraj,"[('Musical', 1), ('Romance', 1)]"
127,Sonakshi Sinha,"[('Action', 8), ('Comedy', 5), ('Romance', 5)]"
128,Dino Morea,"[('Drama', 5), ('Thriller', 5), ('Romance', 5)]"
129,Mallika Sherawat,"[('Comedy', 9), ('Drama', 8), ('Romance', 4)]"
130,Shawar Ali,"[('Thriller', 3), ('Drama', 1), ('Crime', 1)]"
131,Amrita Arora,"[('Comedy', 6), ('Romance', 5), ('Drama', 5)]"
132,Rasika Joshi,"[('Fantasy', 1)]"
133,Konkona Sen Sharma,"[('Drama', 12), ('Comedy', 7), ('Romance', 3)]"
134,Vicky Ahuja,"[('Horror', 3), ('Drama', 3), ('Mystery', 2)]"
135,Tisca Chopra,"[('Drama', 3), ('Comedy', 2), ('Thriller', 1)]"
136,Kashmira Shah,"[('Thriller', 3), ('Drama', 2)]"
137,Neha Dhupia,"[('Comedy', 9), ('Drama', 8), ('Thriller', 6)]"
138,Kareena Kapoor,"[('Drama', 20), ('Romance', 15), ('Comedy', 12)]"
139,Sudesh Berry,"[('Action', 4), ('Comedy', 1), ('Romance', 1)]"
140,Laxmikant Berde,"[('Drama', 3), ('Comedy', 2), ('Romance', 2)]"
141,Akshay Kapoor,"[('Drama', 3), ('Comedy', 1), ('Action', 1)]"
142,Emraan Hashmi,"[('Drama', 16), ('Thriller', 13), ('Romance', 11)]"
143,Audhitya Singh,"[('Action', 1), ('Thriller', 1)]"
144,Anupam Kher,"[('Drama', 24), ('Comedy', 20), ('Romance', 13)]"
145,Vatsal Seth,"[('Drama', 4), ('Action', 3), ('Comedy', 3)]"
146,Shilpa Shetty,"[('Drama', 4), ('Thriller', 3), ('Action', 3)]"
147,Shomendra Bose,"[('Comedy', 1)]"
148,Arbaaz Khan,"[('Drama', 14), ('Action', 5), ('Thriller', 4)]"
149,Irrfan Khan,"[('Drama', 15), ('Comedy', 8), ('Crime', 8)]"
150,Chaitanya Bhosle,"[('Musical', 1)]"
151,Aryan Vaid,"[('Romance', 1), ('Drama', 1), ('Thriller', 1)]"
152,Vinod Pande,"[('Drama', 1), ('Romance', 1)]"
153,Romit Raaj,"[('Comedy', 1), ('Romance', 1)]"
154,Abhay Deol,"[('Drama', 8), ('Comedy', 7), ('Romance', 6)]"
155,Juhi Chawla,"[('Comedy', 8), ('Action', 5), ('Drama', 5)]"
156,Meera,"[('Thriller', 1), ('Drama', 1)]"
157,Seema Biswas,"[('Drama', 9), ('Crime', 7), ('Thriller', 4)]"
158,Divya Dutta,"[('Drama', 13), ('Comedy', 10), ('Romance', 3)]"
159,Raqesh Vashisth,"[('Thriller', 1), ('Drama', 1), ('Romance', 1)]"
160,Shiney Ahuja,"[('Drama', 7), ('Romance', 4), ('Mystery', 3)]"
161,Hemant Birje,"[('Action', 1), ('Biography', 1), ('Drama', 1)]"
162,Samir Aftab,"[('Action', 2), ('Crime', 2), ('Romance', 1)]"
163,Aarti Chhabria,"[('Comedy', 4), ('Drama', 4), ('Romance', 2)]"
164,Nassar Abdulla,"[('Drama', 6), ('Romance', 2), ('Comedy', 1)]"
165,Sanjay Chauhan,"[('Thriller', 2), ('Drama', 1)]"
166,Ishrat Ali,"[('Drama', 4), ('Action', 2), ('Thriller', 2)]"
167,Imran Khan,"[('Drama', 10), ('Comedy', 8), ('Romance', 6)]"
168,Rajat Bedi,"[('Action', 6), ('Romance', 5), ('Drama', 2)]"
169,Paresh Rawal,"[('Comedy', 22), ('Drama', 19), ('Romance', 8)]"
170,Rakesh Bedi,"[('Drama', 6), ('Comedy', 5), ('Crime', 2)]"
171,Tanushree Dutta,"[('Drama', 5), ('Thriller', 3), ('Action', 2)]"
172,Sandeep Bedi,"[('Action', 1), ('Crime', 1)]"
173,Dia Mirza,"[('Drama', 10), ('Romance', 6), ('Comedy', 4)]"
174,Yunus Parvez,"[('Horror', 1)]"
175,Makrand Deshpande,"[('Drama', 4), ('Crime', 1), ('Comedy', 1)]"
176,Vinay Apte,"[('Crime', 1)]"
177,Benjamin Gilani,"[('Drama', 3), ('Action', 2), ('Comedy', 1)]"
178,Priyanka Chopra,"[('Drama', 23), ('Action', 15), ('Comedy', 12)]"
179,Sherlyn Chopra,"[('Romance', 1), ('Crime', 1), ('Drama', 1)]"
180,Jatin Grewal,"[('Thriller', 1), ('Action', 1), ('Crime', 1)]"
181,Arun Mathur,"[('Horror', 1)]"
182,Farid Amiri,"[('Romance', 1)]"
183,Archi,"[('Animation', 1)]"
184,Isaiah,"[('Drama', 2), ('Action', 1), ('Horror', 1)]"
185,Ayesha Jhulka,"[('Comedy', 2), ('Drama', 2), ('Action', 1)]"
186,Harman Baweja,"[('Drama', 3), ('Action', 2), ('Comedy', 1)]"
187,Prithvi,"[('Action', 1)]"
188,Rahul Roy,"[('Romance', 1)]"
189,Anamika Goel,"[('Comedy', 1)]"
190,Mukesh Bhatt,"[('Drama', 4), ('Comedy', 2), ('Horror', 1)]"
191,Bobby Darling,"[('Comedy', 3), ('Romance', 2), ('Musical', 1)]"
192,Kangana Ranaut,"[('Drama', 15), ('Crime', 8), ('Action', 8)]"
193,Ali Asghar,"[('Comedy', 2), ('Drama', 1)]"
194,Kunal Khemu,"[('Drama', 6), ('Comedy', 4), ('Action', 3)]"
195,Mithun Chakraborty,"[('Drama', 14), ('Action', 13), ('Comedy', 7)]"
196,Ranbir Kapoor,"[('Drama', 8), ('Comedy', 7), ('Romance', 6)]"
197,Dharmendra,"[('Drama', 7), ('Crime', 3), ('Comedy', 2)]"
198,Ranvir Shorey,"[('Comedy', 11), ('Drama', 11), ('Romance', 4)]"
199,Suman Ranganathan,"[('Musical', 3), ('Thriller', 1), ('Drama', 1)]"
200,Ayesha Takia,"[('Drama', 9), ('Romance', 9), ('Comedy', 8)]"
201,Ravi Kishan,"[('Comedy', 6), ('Drama', 6), ('Crime', 2)]"
202,Meghna Desai,"[('Drama', 1)]"
203,Mohit Ahlawat,"[('Crime', 3), ('Drama', 3), ('Action', 2)]"
204,Rocky Bhatia,"[('Comedy', 1), ('Romance', 1)]"
205,Aditya Bal,"[('Romance', 1), ('Thriller', 1)]"
206,Mahima Chaudhry,"[('Drama', 6), ('Romance', 5), ('Comedy', 3)]"
207,Mischa Barton,"[('Drama', 1), ('History', 1)]"
208,Nikhil Dwivedi,"[('Crime', 3), ('Action', 1), ('Thriller', 1)]"
209,Dwij Yadav,"[('Drama', 2), ('Comedy', 1), ('Family', 1)]"
210,Sameer Dharmadhikari,"[('Thriller', 1)]"
211,Shweta Bhardwaj,"[('Crime', 4), ('Action', 3), ('Comedy', 3)]"
212,Menekka Arora,"[('Drama', 1), ('Romance', 1)]"
213,David Carradine,"[('Comedy', 1), ('Romance', 1)]"
214,Farhan Akhtar,"[('Drama', 5), ('Comedy', 2), ('Romance', 2)]"
215,Ava Mukherjee,"[('Crime', 1), ('Drama', 1), ('Family', 1)]"
216,Rahul Khanna,"[('Drama', 3), ('Comedy', 2), ('Crime', 1)]"
217,Mohan Azaad,"[('Drama', 1), ('Action', 1), ('Horror', 1)]"
218,Madhuri Dixit,"[('Drama', 6), ('Romance', 4), ('Musical', 3)]"
219,Darsheel Safary,"[('Drama', 2), ('Action', 1), ('Family', 1)]"
220,Abhay Bhargav,"[('Drama', 2), ('Horror', 1), ('Comedy', 1)]"
221,Himesh Reshammiya,"[('Drama', 4), ('Romance', 3), ('Thriller', 2)]"
222,Vinay Pathak,"[('Drama', 13), ('Comedy', 10), ('Romance', 3)]"
223,Parvin Dabas,"[('Drama', 6), ('Comedy', 5), ('Romance', 4)]"
224,Anand Abhyankar,"[('Drama', 3), ('Comedy', 1), ('Romance', 1)]"
225,Salil Acharya,"[('Drama', 2), ('Action', 1), ('Horror', 1)]"
226,Sikander Kher,"[('Drama', 2), ('Action', 1), ('Mystery', 1)]"
227,Armaan Shahabi,"[('Drama', 1), ('Musical', 1)]"
228,Jayshree Arora,"[('Action', 1), ('Adventure', 1), ('Drama', 1)]"
229,Mona Ambegaonkar,"[('Comedy', 1), ('Action', 1), ('Drama', 1)]"
230,Sunil Pal,"[('Comedy', 1)]"
