,actors,Genre 1,Genre 2,Genre 3
0,Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Romance,,
1,Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,Adventure,Drama,Musical
2,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Action,Comedy,
3,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,Drama,Romance,
4,Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Action,Comedy,Drama
5,Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Musical,Romance,
6,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Action,Drama,Romance
7,Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Drama,Musical,Romance
8,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Comedy,Drama,Musical
9,Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,Musical,Drama,Romance
10,Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Adventure,Biography,Drama
11,Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Drama,Musical,Romance
12,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Musical,Drama,Romance
13,Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Action,Crime,Drama
14,Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Crime,Drama,
15,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Drama,Family,
16,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Musical,Romance,
17,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Action,,
18,Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Comedy,Musical,Family
19,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Musical,Romance,Drama
20,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,Drama,Family,
21,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Action,Comedy,Drama
22,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Drama,Musical,Romance
23,Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Romance,,
24,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Drama,Romance,
25,Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Drama,,
26,Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,Crime,Mystery,Thriller
27,Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi,Comedy,,
28,Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill,Crime,Drama,Romance
29,Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean,Comedy,Fantasy,Music
30,Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni,Thriller,,
31,Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,Romance,,
32,Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey,Action,Drama,Romance
33,Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,Romance,,
34,Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Romance,,
35,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Comedy,Crime,Romance
36,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Drama,,
37,Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Thriller,Mystery,
38,Priyanshu Chatterjee | Himanshu Malik | Sandali Sinha | Raqesh Vashisth,Drama,Romance,
39,Anil Kapoor | Rani Mukerji | Amrish Puri | Johnny Lever,Drama,Action,
40,Aamir Khan | Saif Ali Khan | Akshaye Khanna | Preity Zinta,Comedy,Drama,
41,Fardeen Khan | Reema Sen | Apoorva Agnihotri | Suman Ranganathan,Musical,,
42,Ajay Devgn | Madhuri Dixit | Preity Zinta | Vikram Gokhale,Romance,Drama,
43,Rekha | Anil Kapoor | Jackie Shroff | Madhuri Dixit,Drama,Musical,Crime
44,Amitabh Bachchan | Sanjay Dutt | Sunil Shetty | Mahesh Manjrekar,Action,Crime,Drama
45,Sudhir Dalvi | Dharmendra | Vikram Gokhale | Rohini Hattangadi,Drama,Mystery,
46,Neeru Bajwa | Ruby Bhatia | Vekeana Dhillon | Vikram Dhillon,Documentary,,
47,Ajay Devgn | Mohanlal | Manisha Koirala | Seema Biswas,Action,Crime,Thriller
48,Sunil Shetty | Mukul Dev | Pooja Batra | Anupama Verma,Action,Drama,Thriller
49,Sunil Shetty | Mahima Chaudhry | Paresh Rawal | Saurabh Shukla,Comedy,Drama,
50,Ameesha Patel | Jimmy Shergill | Nafisa Ali | Gulshan Grover,Drama,,
51,Madhavan | Saif Ali Khan | Dia Mirza | Vrajesh Hirjee,Musical,,
52,Malaika Arora | Raj Babbar | Rana Jung Bahadur | Balwant Bansal,Action,Crime,Drama
53,Arjun Rampal | Dia Mirza | Vinod Khanna | Om Puri,Romance,Drama,
54,Arjun Rampal | Manisha Koirala | Kalpana Pandit | Suresh Oberoi,Drama,Thriller,
55,Ajay Devgn | Sonali Bendre | Namrata Shirodkar | Prem Chopra,Drama,,
56,Anand Raj Anand | Sunidhi Chauhan | Nagesh Haldankar | Shakti Kapoor,Drama,,
57,Shailendra Gaur | Pankaj Berry | Tom Alter | Hemant Birje,Biography,Drama,
58,Govinda | Juhi Chawla | Tabu | Chandrachur Singh,Comedy,,
59,Sanjay Dutt | Nandita Das | Sachin Khedekar | Tanvi Hegde,Action,Drama,
60,Amitabh Bachchan | Akshay Kumar | Sushmita Sen | Arjun Rampal,Comedy,Thriller,Crime
61,Jaya Bhaduri | Aftab Shivdasani | Sanjay Kapoor | Juliet Alburque,Musical,Romance,Thriller
62,Sharman Joshi | Sahil Khan | Riya Sen | Shillpi Sharma,Musical,Comedy,
63,Sunny Deol | Tabu | Arbaaz Khan | Tinnu Verma,Action,Drama,
64,Jividha Sharma | Mohan Azaad | Arun Bakshi | Rajat Bedi,Action,Romance,
65,Tabu | Sushmita Sen | Sanjay Suri | Palash Sen,Drama,,
66,Akshay Kumar | Karisma Kapoor | Abhishek Bachchan | Kader Khan,Musical,Romance,
67,Akanksha Malhotra | Rahul Bhat | Nasir Khan | Pinky Campbell,Action,Romance,
68,Salman Khan | Sushmita Sen | Dia Mirza | Sharat Saxena,Action,Drama,Mystery
69,Vinod Khanna | Bobby Deol | Ameesha Patel | Rati Agnihotri,Drama,,
70,Manisha Koirala | Nawab Shah | Vineeta Malik | Prithvi Zutshi,Drama,Thriller,War
71,Jackie Shroff | Aftab Shivdasani | Ameesha Patel | Anupama Verma,Comedy,Musical,Romance
72,Fardeen Khan | Amrita Arora | Satish Shah | Tiku Talsania,Comedy,Romance,
73,Nana Patekar | Anupama Verma | Puru Rajkumar | Nakhul,Mystery,Thriller,
74,Danny Denzongpa | Gulshan Grover | Milind Soman | Dipannita Sharma,Action,Drama,Mystery
75,Vivek Oberoi | Dia Mirza | Atul Kulkarni | Mukesh Rishi,Crime,,
