,imdbId,title,releaseYear,genre,actors,directors,hitFlop
0,tt0118578,Albela,2001,Romance,Govinda | Aishwarya Rai Bachchan | Jackie Shroff | Namrata Shirodkar,Deepak Sareen,2
1,tt0169102,Lagaan: Once Upon a Time in India,2001,Adventure | Drama | Musical,Aamir Khan | Gracy Singh | Rachel Shelley | Paul Blackthorne,Ashutosh Gowariker,6
2,tt0187279,Meri Biwi Ka Jawab Nahin,2004,Action | Comedy,Akshay Kumar | Sridevi | Gulshan Grover | Laxmikant Berde,Pankaj Parashar | S.M. Iqbal,1
3,tt0222024,Hum Tumhare Hain Sanam,2002,Drama | Romance,Shah Rukh Khan | Madhuri Dixit | Salman Khan | Atul Agnihotri,K.S. Adiyaman,4
4,tt0227194,One 2 Ka 4,2001,Action | Comedy | Drama,Shah Rukh Khan | Juhi Chawla | Jackie Shroff | Nirmal Pandey,Shashilal K. Nair,1
5,tt0238936,Devdas,2002,Musical | Romance,Shah Rukh Khan | Madhuri Dixit | Aishwarya Rai Bachchan | Jackie Shroff,Sanjay Leela Bhansali,6
6,tt0247911,Aap Mujhe Achche Lagne Lage,2002,Action | Drama | Romance,Hrithik Roshan | Ameesha Patel | Kiran Kumar | Mukesh Tiwari,Vikram Bhatt,2
7,tt0248126,Kabhi Khushi Kabhie Gham...,2001,Drama | Musical | Romance,Amitabh Bachchan | Jaya Bhaduri | Shah Rukh Khan | Kajol,Karan Johar,8
8,tt0248216,Na Tum Jaano Na Hum,2002,Comedy | Drama | Musical,Saif Ali Khan | Hrithik Roshan | Esha Deol | Alok Nath,Arjun Sablok,1
9,tt0248617,Yaadein...,2001,Musical | Drama | Romance,Jackie Shroff | Hrithik Roshan | Kareena Kapoor | Amrish Puri,Subhash Ghai,2
10,tt0255713,Zubeidaa,2001,Adventure | Biography | Drama,Karisma Kapoor | Rekha | Manoj Bajpayee | Rajit Kapoor,Shyam Benegal,1
11,tt0256692,Chori Chori Chupke Chupke,2001,Drama | Musical | Romance,Preity Zinta | Salman Khan | Rani Mukerji | Amrish Puri,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,5
12,tt0265148,Main Prem Ki Diwani Hoon,2003,Musical | Drama | Romance,Hrithik Roshan | Kareena Kapoor | Abhishek Bachchan | Johnny Lever,Sooraj R. Barjatya,2
13,tt0265452,Officer,2001,Action | Crime | Drama,Sunil Shetty | Raveena Tandon | Danny Denzongpa | Sadashiv Amrapurkar,Naeem Sha,2
14,tt0267363,Chandni Bar,2001,Crime | Drama,Tabu | Atul Kulkarni | Rajpal Yadav | Shri Vallabh Vyas,Madhur Bhandarkar,5
15,tt0271604,Kuch Khatti Kuch Meethi,2001,Drama | Family,Kajol | Rishi Kapoor | Rati Agnihotri | Sunil Shetty,Rahul Rawail,2
16,tt0272543,Censor,2001,Musical | Romance,Dev Anand | Hema Malini | Shammi Kapoor | Rekha,Dev Anand,1
17,tt0272607,Farz,2001,Action,Sunny Deol | Preity Zinta | Jackie Shroff | Om Puri,Raj Kanwar,4
18,tt0272735,Mujhe Meri Biwi Se Bachaao,2001,Comedy | Musical | Family,Rekha | Naseeruddin Shah | Arshad Warsi | Suman Ranganathan,Harry Baweja,1
19,tt0272736,Mujhse Dosti Karoge!,2002,Musical | Romance | Drama,Rani Mukerji | Hrithik Roshan | Kareena Kapoor | Uday Chopra,Kunal Kohli,2
20,tt0273164,Daman: A Victim of Marital Violence,2001,Drama | Family,Raveena Tandon | Sayaji Shinde | Sanjay Suri | Raima Sen,Kalpana Lajmi,1
21,tt0273406,Aashiq,2001,Action | Comedy | Drama,Bobby Deol | Rahul Dev | Dinesh Hingoo | Vrajesh Hirjee,Indra Kumar,3
22,tt0273535,Dil Ne Phir Yaad Kiya,2001,Drama | Musical | Romance,Sadashiv Amrapurkar | Vinay Anand | Pooja Batra | Govinda,Rajat Rawail,1
23,tt0274019,Pyaar Diwana Hota Hai,2002,Romance,Rani Mukerji | Govinda | Om Puri | Laxmikant Berde,Kirti Kumar,1
24,tt0275381,Grahan,2001,Drama | Romance,Jackie Shroff | Manisha Koirala | Anupama Verma | Prasad Purandhare,Shashilal K. Nair,1
25,tt0277981,Rahul,2001,Drama,Neha | Rajeshwari Sachdev | Gulshan Grover | Nina Kulkarni,Prakash Jha,1
26,tt0278291,Ajnabee,2001,Crime | Mystery | Thriller,Akshay Kumar | Bobby Deol | Kareena Kapoor | Bipasha Basu,Abbas Alibhai Burmawalla | Mastan Alibhai Burmawalla,4
27,tt0278522,Jodi No.1,2001,Comedy,Sanjay Dutt | Govinda | Twinkle Khanna | Monica Bedi,David Dhawan,6
28,tt0279021,Chhupa Rustam: A Musical Thriller,2001,Crime | Drama | Romance,Tinnu Anand | Raj Babbar | Laxmikant Berde | Avtar Gill,Aziz Sejawal,3
29,tt0280720,The Guru,2002,Comedy | Fantasy | Music,Jimi Mistry | Heather Graham | Marisa Tomei | Michael McKean,Daisy von Scherler Mayer,1
30,tt0281102,Pyaar Tune Kya Kiya...,2001,Thriller,Fardeen Khan | Ravi Baswani | Kannu Gill | Sonali Kulkarni,Rajat Mukherjee,3
31,tt0283911,Bas Itna Sa Khwaab Hai...,2001,Romance,Rani Mukerji | Abhishek Bachchan | Sushmita Sen | Jackie Shroff,Goldie Behl,1
32,tt0284137,Gadar: Ek Prem Katha,2001,Action | Drama | Romance,Sunny Deol | Ameesha Patel | Amrish Puri | Lillete Dubey,Anil Sharma,9
33,tt0284328,Mujhe Kucch Kehna Hai,2001,Romance,Tusshar Kapoor | Kareena Kapoor | Amrish Puri | Rinke Khanna,Satish Kaushik,7
34,tt0285319,Paagalpan,2001,Romance,Karan Nath | Aarti Agarwal | Vilas Ujawane | Bharat Dabholkar,Joy Augustine,1
35,tt0287537,Love Ke Liye Kuch Bhi Karega,2001,Comedy | Crime | Romance,Saif Ali Khan | Fardeen Khan | Aftab Shivdasani | Sonali Bendre,Eeshwar Nivas,2
36,tt0288273,Uljhan,2001,Drama,Puru Rajkumar | Dipti Bhatnagar | Kanchan | Laxmikant Berde,Rajan Johri,1
37,tt0289845,Aks,2001,Thriller | Mystery,Amitabh Bachchan | Raveena Tandon | Manoj Bajpayee | Nandita Das,Rakeysh Omprakash Mehra,2
