,actorName,googleHits,normalizedRating
0,Aamir Khan,2460000,10.0
1,Shah Rukh Khan,2670000,9.226739882999999
2,Salman Khan,3490000,9.208209991
3,Katrina Kaif,2120000,8.948519707
4,Deepika Padukone,3000000,8.627160072
5,Hrithik Roshan,2650000,8.251939774
6,Priyanka Chopra,3130000,8.136859894
7,Kareena Kapoor,2940000,8.090649605
8,Ranbir Kapoor,1860000,7.69863987
9,Kajol,1780000,7.251560211
10,John Abraham,2610000,7.119349957000001
11,Amitabh Bachchan,2770000,7.011300087
12,Sonakshi Sinha,960000,6.9519200329999995
13,Alia Bhatt,1190000,6.941619873
14,Ajay Devgn,2570000,6.8713197710000005
15,Asin,35900,6.750120162999999
16,Farhan Akhtar,1860000,6.6257901189999995
17,Arjun Kapoor,1690000,6.50593996
18,Akshay Kumar,1960000,6.380479812999999
19,Anushka Sharma,1320000,6.376100062999999
20,Vidya Balan,1340000,6.047090054
21,Aishwarya Rai Bachchan,1930000,6.008560181
22,Ranveer Singh,1120000,6.002399921
23,Vir Das,2270000,5.950920105
24,Shahid Kapoor,1800000,5.765910149
25,Saif Ali Khan,1760000,5.721079826
26,Anil Kapoor,1930000,5.608749866
27,Prakash Raj,1350000,5.544079781000001
28,Sonam Kapoor,1360000,5.487979889
29,Sanjay Kapoor,2080000,5.462490082
30,Jacqueline Fernandez,235000,5.460309982
31,Abhishek Bachchan,1260000,5.207940102
32,Imran Khan,1020000,5.111979961
33,Rekha,1480000,5.106880188
34,Tabu,1480000,5.068160057
35,Madhavan,1140000,5.056109905
36,Sanjay Dutt,1560000,5.002639771
37,Parineeti Chopra,737000,4.99323988
38,Madhuri Dixit,1300000,4.833380222
39,Preity Zinta,877000,4.808810234
40,Govinda,1430000,4.785570145
41,Emraan Hashmi,861000,4.720950127
42,Bipasha Basu,1050000,4.571219921
43,Uday Chopra,311000,4.494339943
44,Aditya Roy Kapoor,235000,4.484620093999999
45,Ritesh Deshmukh,312000,4.452000141
46,Rishi Kapoor,934000,4.408430098999999
47,Kangana Ranaut,867000,4.360459805
48,Dia Mirza,1640000,4.350940228
49,Amrish Puri,125000,4.336709976
50,Amrita Rao,510000,4.222750187
51,Lara Dutta,737000,4.193009853
52,Om Puri,1230000,4.177889824
53,Kiron Kher,25100,4.113800049
54,Mallika Sherawat,669000,4.084829807
55,Sonu Sood,824000,4.080420017
56,Nana Patekar,173000,4.0524902339999995
57,Vinod Khanna,243000,4.031509876
58,Kalki Koechlin,380000,3.9851500989999997
